ID,CuratorialText,persona2_adapted,word_count_original,word_count_adapted,error
CT0001,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.","In the early 1940s, well into his long career as an artist, Henri Matisse (1869–1954) began working in a new way: using cut paper.

After a painful abdominal surgery left him confined to bed and unable to paint, Matisse turned to cutting and arranging colored paper as a way to keep making art despite his limited mobility. Encouraged by his friend Tériade (the pen name of Stratis Eleftheriades), a book publisher, Matisse continued to develop this technique. He drew on his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, creating a series of 20 small-scale models made from cut paper.",93,105,
CT0002,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.","These lively, original designs were carefully recreated using a stencil-based printing technique called pochoir. They were paired with an original text written by Matisse to form an unbound book titled *Jazz*, published in 1947, when the artist was 77 years old. The book caused an immediate international stir and gave the aging artist a renewed sense of creative energy, setting him on a new path of artistic exploration.",56,68,
CT0003,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s striking images in *Jazz* are not only engaging and thought-provoking on their own terms; they also reveal a lifelong artistic practice centered on the study of color and line. Over the course of his long career, Matisse moved color beyond simple visual appeal toward something almost spiritual, while gradually reducing his line work to its most basic form. However, before he began making his cut-outs, color and line remained separate elements in his work—each influencing the other, but never fully merging in a way that satisfied Matisse himself.",77,89,
CT0004,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.","This exhibition marks the first time Matisse’s *Jazz* will be displayed in full at the Art Institute, which acquired the work in 1948. Considered one of the most significant artist books of the 20th century—a type of book where the artist creates both the images and the overall design—*Jazz* is joined here by more than 50 works from the museum’s outstanding collection. These include paintings, sculptures, drawings, prints, illustrated books, and textiles, all highlighting Matisse’s lifelong drive to experiment and his mastery of color and line as powerful forms of expression.",77,91,
CT0005,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.","From a 6th-century Buddhist sculpture covered in gold leaf, to paintings and white porcelain from the Joseon dynasty (a period that lasted from the late 14th to the early 20th century), to paintings from the late 1900s, the artworks in this exhibition showcase the creative traditions that have flourished on the Korean peninsula for over a thousand years.",39,58,
CT0006,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ","Once held in a private collection, these artworks now belong to the Korean people, thanks to an extraordinary, one-time gift from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, the family donated more than 23,000 pieces to the Korean government, so that the public could study and enjoy them forever. Lee Kun-Hee and his father, Lee Byung-Chull, gathered exceptional and historically significant objects from across Korean history, as a way to preserve and celebrate the nation’s cultural heritage. This exhibition is the first time these works have been shown to the public.",88,97,
CT0007,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.","Among the 140 artworks on display—ranging from modern and historical paintings to ceramics and objects created for Buddhist worship and scholarly study—22 have been officially designated as National Treasures or Treasures by the Korean government. This designation means they are considered outstanding examples of their kind, valued for their exceptional historical, artistic, and scholarly significance.",52,55,
CT0008,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.","The largest exhibition of Korean art at the Art Institute in forty years, *Korean National Treasures: 2,000 Years of Art*, traces the ideas, values, and traditions that have shaped the country’s artistic output—from the Three Kingdoms period (57 BCE–676 CE) through the 1900s. It offers a window into the deep and evolving meanings these objects have held over the centuries.",52,60,
CT0009,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.","Monumental in scale and painstakingly detailed, the paintings of Raqib Shaw—an artist raised in Kashmir and now based in London—offer imaginative reflections on identity, change, and how beauty can heal or transform us.",25,33,
CT0010,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ","Born in Calcutta and raised in the lush Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life—many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he moved first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a wide range of sources: paintings from the Mughal and Persian courts, religious altarpieces from the Renaissance, works by European Old Masters, Japanese art from the Momoyama period, Kashmiri and Urdu poetry, and stories from Hindu and Western mythology. Yet his visual style and technique are entirely his own. His signature method involves using an acrylic liner on a prepared surface called gesso to create a golden line, similar to the lead in a stained glass window. He then applies car enamel paint using needle-thin syringes and manipulates it with a porcupine quill, often adding small, glittering stones and decorative baubles that heighten the magical, dreamlike quality of the scenes he depicts.",163,177,
CT0011,"At the Art Institute, Shaw debuts his more-than 100-feet-wide, 21-panel Paradise Lost (2009–25), the artist’s most ambitious and personal project to date. This magnificent allegorical painting takes viewers on a spellbinding journey, from the nocturnal solitude of the artist’s childhood in Kashmir to the frenzied daylight of the art world and the West to finally a fragile, renewed dawn. Each panel is dense with symbolism: mythical beasts, anthropomorphic hybrids, collapsing kingdoms, and natural beauty in various states of transformation. Throughout, the work is dotted with images of the artist, sometimes as a humanoid creature with different animal heads, at another time as a monkey looking with awe at the gleaming edifices and the wealth of the West, and sometimes unambiguously in full human form seated on a bed of saffron under a blossoming cherry tree, lost deep in his thoughts","At the Art Institute, Shaw unveils *Paradise Lost* (2009–25), his most ambitious and personal project to date—a massive work spanning more than 100 feet across 21 panels. This richly symbolic painting takes viewers on a captivating journey: from the quiet, nighttime isolation of the artist’s childhood in Kashmir, through the chaotic, brightly lit world of contemporary art and Western culture, to a fragile, hopeful new dawn. Each panel is packed with layered meaning, featuring mythical creatures, beings that blend human and animal features, crumbling empires, and natural landscapes caught in various stages of change. Throughout the piece, the artist appears repeatedly—sometimes as a human-like figure with different animal heads, at other moments as a monkey gazing in wonder at the gleaming buildings and wealth of the West, and occasionally in unmistakably human form, seated on a bed of saffron beneath a blossoming cherry tree, lost in thought.",140,147,
CT0012,"The work is not a direct retelling of Milton’s 17th-century poem Paradise Lost, but rather a reflection on the many paradises lost across a lifetime: childhood innocence, creative freedom, mental tranquility, cultural belonging. “This is not just my story,” Shaw explained. “It is the story of each of us, and the story of our times.”","This work does not retell John Milton’s 17th-century poem *Paradise Lost* in a straightforward way. Instead, it reflects on the many kinds of paradise we lose over a lifetime: the innocence of childhood, the freedom to create, peace of mind, and a sense of belonging to a culture. “This is not just my story,” Shaw explained. “It is the story of each of us, and the story of our times.”",55,70,
CT0013,"While Shaw has previously shown the first chapter of Paradise Lost, this exhibition marks the first time all four chapters will be displayed, showcasing the fullest extent yet of this epic masterpiece. “This painting was made not only to document a life,” Shaw shared, “but to offer something to those who come after, to offer a space of reflection for emotional recognition and perhaps for quiet rebellion against forgetfulness. I do hope that this work invites the viewer to slow down and to look carefully and to feel without haste.”
","While Shaw has previously exhibited the first chapter of *Paradise Lost*, this is the first time all four chapters are on display together, revealing the full scope of this ambitious, large-scale work. “This painting was made not only to record a life,” Shaw explained, “but to offer something to future generations—a space for reflection, for emotional recognition, and perhaps for quiet resistance against being forgotten. I hope it encourages viewers to slow down, to look closely, and to feel without rushing.”",90,81,
CT0014,"Exquisitely crafted and shrouded in mystery, Saint-Porchaire ceramics are among the rarest treasures of the French Renaissance.","Exquisitely made and wrapped in mystery, Saint-Porchaire ceramics are among the rarest treasures of the French Renaissance.",17,17,
CT0015,"Only around 70 examples are known to exist worldwide, and each one dazzles and intrigues with its refined and delicate modeling and astonishingly intricate decoration. Created between about 1520 and 1570 and closely associated with the royal courts of François I and Henri II, these extraordinary works bear the emblems of power, prestige, and desire—including the interlaced cipher of Henri II and his famed mistress, Diane de Poitiers.","Only about 70 examples of these works are known to exist around the world. Each one impresses and fascinates viewers with its elegant, carefully crafted shapes and surprisingly detailed decoration. Made between roughly 1520 and 1570, these pieces are closely linked to the royal courts of King Francis I and King Henry II of France. They display symbols of power, status, and longing—including the intertwined initials of Henry II and his famous mistress, Diane de Poitiers.",68,76,
