ID,CuratorialText,persona3_adapted,word_count_original,word_count_adapted,error
CT0001,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.","In the early 1940s, after many decades as an artist, Henri Matisse (1869–1954) began working in a new way: cutting shapes out of paper.

He had become confined to bed after a painful stomach surgery and could no longer paint. Cutting paper allowed him to keep making art while staying still. Encouraged by his friend Tériade (a book publisher whose real name was Stratis Eleftheriades), Matisse explored this new technique further. He drew on memories of Parisian music halls, the circus, trips to Tahiti, folk stories, and myths, and created a set of 20 paper-cut models.",93,96,
CT0002,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.","These bright, original artworks were carefully copied using a hand-stenciling technique called pochoir. They were paired with a new text written by Matisse himself to create an unbound book titled *Jazz*, published in 1947 when Matisse was 77 years old. The book caused an immediate stir around the world and gave the aging artist a fresh burst of energy, leading him in a new direction of artistic exploration.",56,68,
CT0003,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s *Jazz* images are striking and thought-provoking on their own, but they also show an artist dedicated to experimenting with color and line. Over his long career, Matisse moved color beyond just what we see, making it feel almost spiritual, while his lines became simpler and more basic. However, before he started using cut-out shapes, his color and line remained separate—each one changed the other, but they never fully came together in a way that satisfied Matisse himself.",77,78,
CT0004,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.","This exhibition is the first time the Art Institute has shown Matisse’s *Jazz* in full. The museum bought the work in 1948. *Jazz* is one of the most important artist-made books of the 1900s. It is joined here by more than 50 other works from the museum’s collection—paintings, sculptures, drawings, prints, illustrated books, and textiles. Together, they show how Matisse, over his 50-year career, always tried new things and used color and line to express powerful feelings.",77,77,
CT0005,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.","This exhibition brings together art created on the Korean peninsula over more than a thousand years. You’ll see a gold-covered bronze Buddhist statue from the 500s, paintings and white porcelain from the Joseon dynasty, and works from the late 1900s. Together, they show the long and rich artistic tradition of Korea.",39,51,
CT0006,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ","These artworks used to belong to one family, but now they belong to the people of Korea. That’s because of a very generous gift from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, his family gave more than 23,000 works of art to the Korean government so that the public could study and enjoy them forever.

Lee Kun-Hee and his father, Lee Byung-Chull, collected rare and meaningful objects from throughout Korean history. They did this to help preserve and celebrate Korea’s cultural heritage. This exhibition is the first time these works have ever been shown to the public.",88,103,
CT0007,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.","Of the 140 artworks in this exhibition, 22 are officially designated as National Treasures or Treasures by the Korean government. These pieces include modern and historical paintings, ceramics, and objects used in Buddhist worship and scholarly study. They are considered outstanding examples of their kind, valued for their historical, artistic, and academic importance.",52,53,
CT0008,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.","This major exhibition is the first in 40 years at the Art Institute to focus on Korean art. It explores the ideas, values, and traditions that have shaped Korea's art over 2,000 years—from the Three Kingdoms period (57 BCE–676 CE) all the way to the 1900s. The show helps visitors understand the deep meanings these objects have held across many centuries.",52,61,
CT0009,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.","Raqib Shaw grew up in Kashmir and now lives and works in London. His paintings are both grand in scale and incredibly detailed. Through them, he explores big ideas about who we are, how we change, and how beauty can help heal or save us.",25,45,
CT0010,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ","Born in Calcutta and raised in the lush Himalayan mountains of Kashmir, Shaw draws heavily on the landscapes and memories of his early life—many of which were disrupted by political conflict. Forced to leave Kashmir as a teenager, he moved first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design.

His work is influenced by a wide range of sources, including Mughal and Persian miniature paintings, Renaissance religious artworks, Old Masters paintings, Japanese art from the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology. Yet his visual style and technique are entirely his own.

His signature method involves using an acrylic liner on a surface called gesso to create a golden line, similar to the lead in a stained glass window. He then applies car enamel paints using needle-thin syringes and shapes them with a porcupine quill. He often adds sparkling inset stones and small ornaments, which enhance the magical, dreamlike quality of the scenes he creates.",163,170,
